@RELATION svm_clf
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {music,speech,birds}

@DATA
0.117493,0.037979,3.196664,0.186401,0.182997,1.213101,0.006892,0.185360,-24.052366,0.673008,-0.600427,0.484391,-0.079406,-0.226055,0.250766,0.253756,-0.120427,-0.237282,-0.208948,0.068246,0.051448,0.007913,0.009320,0.017397,0.021230,0.008066,0.017389,0.030735,0.002266,0.010801,0.001814,0.012819,0.001895,0.020696,0.023650,0.020319,0.121582,0.026783,0.022831,0.283405,0.003350,0.052139,0.950212,0.428462,0.328160,0.338322,0.311437,0.274681,0.294661,0.255874,0.286221,0.367739,0.296509,0.272865,0.211747,0.010381,0.012081,0.017734,0.022168,0.007586,0.022869,0.023276,0.003202,0.014899,0.001598,0.012044,0.002438,0.010438,music
0.042159,0.035531,3.096999,0.107451,0.154738,0.282165,0.010401,0.052096,-23.922625,2.849336,0.389816,0.406717,-0.097430,-0.017522,-0.047989,0.106406,0.024875,0.068675,0.119588,0.026440,0.108090,0.014181,0.001795,0.079138,0.008303,0.034613,0.026273,0.032137,0.000662,0.003635,0.016038,0.054159,0.005140,0.035441,0.016532,0.022808,0.121627,0.021982,0.027885,0.165303,0.007365,0.029665,0.757417,0.345470,0.260038,0.261203,0.231680,0.221317,0.213506,0.195702,0.198754,0.174016,0.184154,0.165081,0.174615,0.012928,0.001803,0.065371,0.008113,0.024436,0.021123,0.020577,0.000809,0.003801,0.011560,0.039461,0.004432,0.013517,music
0.107711,0.025953,3.151290,0.209655,0.217315,1.020574,0.006937,0.185133,-23.837525,1.673281,0.025336,0.254894,-0.220429,0.123450,0.016464,0.208823,0.242045,0.220488,-0.029858,-0.017058,-0.080507,0.032695,0.005591,0.047629,0.006644,0.011863,0.006083,0.037332,0.001750,0.007427,0.015206,0.022503,0.007485,0.024910,0.052401,0.020103,0.192810,0.057273,0.030080,0.514379,0.004396,0.118741,1.366589,0.623422,0.396680,0.386034,0.357415,0.285230,0.287830,0.275365,0.282000,0.241633,0.255848,0.243320,0.217007,0.026856,0.007155,0.042366,0.007140,0.012617,0.006580,0.037912,0.002455,0.007980,0.018554,0.019000,0.008359,0.012050,music
0.055244,0.022626,3.203335,0.141062,0.182509,0.396146,0.005772,0.079943,-25.064842,2.501525,-0.247517,0.003993,-0.105622,0.087581,-0.118324,-0.037403,-0.148630,-0.116784,-0.036808,0.187687,0.231247,0.015038,0.004082,0.020883,0.010490,0.034745,0.067142,0.045409,0.001361,0.003501,0.008866,0.016209,0.004372,0.033555,0.014262,0.014978,0.064906,0.018929,0.018161,0.149792,0.003055,0.025337,0.961467,0.317032,0.238843,0.233924,0.202220,0.186231,0.186472,0.176563,0.197097,0.178322,0.166423,0.206072,0.221050,0.012371,0.004068,0.015502,0.009868,0.022722,0.038046,0.025840,0.001442,0.002949,0.006494,0.012450,0.004340,0.011732,music
0.060663,0.020641,3.193515,0.127572,0.166345,0.414538,0.007731,0.082253,-24.806772,2.238424,-0.211160,0.129812,0.182092,0.128228,-0.157408,0.216098,0.205465,0.061871,-0.032715,0.110445,0.161683,0.014300,0.005684,0.050850,0.011725,0.043006,0.009072,0.047659,0.000907,0.002398,0.009792,0.021568,0.012240,0.027940,0.016511,0.014981,0.075422,0.018935,0.020151,0.193661,0.004820,0.024111,1.035786,0.452174,0.307980,0.281789,0.242359,0.255553,0.251249,0.263625,0.279533,0.289913,0.248450,0.207892,0.194193,0.016117,0.007565,0.038594,0.012272,0.028979,0.008008,0.030092,0.001002,0.003269,0.009956,0.015644,0.011968,0.010573,music
0.064873,0.023730,3.247299,0.125481,0.161993,0.475166,0.004936,0.098485,-24.141706,2.571637,-0.691606,0.028725,-0.111065,0.125039,0.057558,0.194702,0.205904,0.109932,0.029171,0.102764,0.012713,0.022779,0.004634,0.036586,0.010260,0.020564,0.008574,0.020168,0.002476,0.006850,0.010202,0.019191,0.019107,0.021088,0.011242,0.011633,0.047396,0.019111,0.023420,0.135094,0.002708,0.021645,0.582808,0.313422,0.243680,0.238718,0.232382,0.219433,0.236217,0.226327,0.237261,0.237068,0.222788,0.211630,0.185081,0.021957,0.003710,0.026796,0.007076,0.013895,0.006140,0.015377,0.002401,0.005627,0.007444,0.011434,0.016021,0.008338,music
0.101055,0.016028,2.984238,0.163997,0.179456,0.905190,0.012103,0.152831,-25.629950,0.721447,0.223537,-0.236373,-0.227755,0.344957,0.072836,0.369746,0.073434,0.154728,0.042456,0.195746,0.063790,0.010247,0.005638,0.065746,0.002600,0.003076,0.024017,0.136417,0.001264,0.001739,0.002373,0.012309,0.002462,0.045034,0.042734,0.012986,0.244531,0.024637,0.019919,0.396512,0.008371,0.074533,1.037368,0.570418,0.324549,0.378652,0.292502,0.240091,0.227519,0.249023,0.253428,0.233786,0.213889,0.224646,0.178141,0.011600,0.007601,0.058346,0.002813,0.002730,0.021260,0.089993,0.001872,0.002019,0.002438,0.013504,0.002744,0.022868,music
0.063404,0.009095,3.177058,0.125135,0.163288,0.478497,0.008060,0.095705,-26.597444,2.528547,-0.369608,0.161523,-0.071795,0.108452,-0.014887,0.145991,-0.077252,0.075187,0.102959,0.002145,-0.087356,0.023361,0.015678,0.034083,0.007039,0.016576,0.020394,0.056774,0.003573,0.005305,0.017238,0.027732,0.007178,0.030812,0.019309,0.007401,0.117789,0.027235,0.028318,0.215022,0.004438,0.034831,1.132131,0.495475,0.325621,0.260685,0.236263,0.252715,0.256916,0.262477,0.285511,0.253583,0.215843,0.202931,0.201762,0.021781,0.017221,0.030123,0.007143,0.014923,0.016318,0.038765,0.004127,0.005575,0.014174,0.023889,0.007479,0.010480,music
0.039046,0.025021,3.206819,0.108592,0.170394,0.099672,0.011279,0.056897,-26.064940,3.688985,-0.356342,-0.185496,-0.072491,-0.205416,-0.372772,-0.203422,-0.194731,-0.137479,-0.162164,-0.092786,-0.164880,0.044678,0.007161,0.040390,0.015408,0.014983,0.029210,0.018012,0.001895,0.010689,0.027977,0.028047,0.005084,0.038295,0.015148,0.011300,0.114384,0.032333,0.034480,0.104816,0.012280,0.023890,1.096914,0.576416,0.418659,0.297761,0.257776,0.248613,0.246092,0.234946,0.200523,0.227063,0.205280,0.206157,0.210542,0.031791,0.006307,0.022667,0.012741,0.013952,0.023602,0.012805,0.003695,0.009562,0.025374,0.019737,0.004321,0.012871,music
0.065295,0.025058,3.176385,0.157129,0.215449,0.375014,0.010508,0.080408,-24.439534,2.733400,-0.821552,0.246398,0.403592,0.121280,0.153456,0.334237,-0.019390,0.158511,0.159657,0.072504,0.081970,0.010418,0.006343,0.035189,0.010325,0.021319,0.015169,0.036484,0.002072,0.005064,0.014488,0.063884,0.005409,0.030215,0.016721,0.010506,0.128118,0.028767,0.025828,0.222804,0.006592,0.020575,0.884234,0.485933,0.425723,0.288196,0.278478,0.320264,0.303129,0.292218,0.303291,0.306805,0.275833,0.256948,0.197508,0.013712,0.010368,0.029592,0.012114,0.022628,0.016380,0.029323,0.002704,0.005905,0.018904,0.042966,0.006689,0.011216,music
